연도,부령조항과,부령조항,질병명,계,4급,5급,6급
2024,내과,1139064-나-1)          ,염증성 장질환,2 ,2 ,,
2024,내과,1139064-나-2)          ,염증성 장질환,518 ,,518 ,
2024,내과,1139066-나             ,"위장관병의 과거력이 수 회 있고, 현재 증상이 뚜렷하며 검사로 확진되는 경우",8 ,8 ,,
2024,내과,1139068-나-3)          ,간염,20 ,20 ,,
2024,내과,1139068-마-2)          ,간염,7 ,7 ,,
2024,내과,1139069-가             ,간경변증,1 ,,1 ,
2024,내과,1139070-가             ,윌슨병 또는 헤모크로마토시스의 경우,13 ,,13 ,
2024,내과,1139070-나             ,윌슨병 또는 헤모크로마토시스의 경우,2 ,,,2.0
2024,내과,1139074-나-1)          ,췌장염,2 ,,2 ,
2024,내과,1139074-다             ,췌장염,3 ,3 ,,
2024,내과,1139078-나             ,랑게르한스 조직구증,10 ,,10 ,
2024,내과,1139079-가             ,아나필락시스,52 ,52 ,,
2024,내과,1139079-나             ,아나필락시스,17 ,,17 ,
2024,신경과,1061080-다-1)          ,경련성 질환,42 ,42 ,,
2024,신경과,1061080-다-2)          ,경련성 질환,23 ,,23 ,
2024,신경과,1061080-라             ,경련성 질환,78 ,,78 ,
2024,신경과,1061080-마             ,경련성 질환,5 ,,,5.0
2024,신경과,1061081-가-2)-나)     ,이상운동증,2 ,2 ,,
2024,신경과,1061081-나-2)-가)     ,이상운동증,21 ,21 ,,
2024,신경과,1061081-나-2)-나)     ,이상운동증,3 ,,3 ,
2024,신경과,1061081-다             ,이상운동증,1 ,,1 ,
2024,신경과,1061083-나             ,수막 및 중추신경계의 결핵,1 ,,1 ,
2024,신경과,1061084-가-2)          ,뇌졸중,1 ,,1 ,
2024,신경과,1061084의2-나-1)-다) ,두통,2 ,2 ,,
2024,신경과,1061085-가             ,다발성 경화증 및 시신경 척수염범주 질환,1 ,1 ,,
2024,신경과,1061086-나-2)          ,중추신경계의 선천성 질환·퇴행성 질환·염증성 탈수초성 질환 또는 대사성 질환,8 ,8 ,,
2024,신경과,1061086-다             ,중추신경계의 선천성 질환·퇴행성 질환·염증성 탈수초성 질환 또는 대사성 질환,12 ,,12 ,
2024,신경과,1061086-라             ,중추신경계의 선천성 질환·퇴행성 질환·염증성 탈수초성 질환 또는 대사성 질환,1 ,,,1.0
2024,신경과,1061088-나-3)-나)     ,다발성 말초신경계 질환,1 ,1 ,,
2024,신경과,1061088-다-2)          ,다발성 말초신경계 질환,1 ,,,1.0
2024,신경과,1061088-다-3)          ,다발성 말초신경계 질환,1 ,,1 ,
2024,신경과,1061088-라-3)-가)     ,다발성 말초신경계 질환,2 ,,2 ,
2024,신경과,1061089-가             ,중증근무력증,1 ,1 ,,
2024,신경과,1061089-나             ,중증근무력증,1 ,,1 ,
2024,신경과,1061090-가-2)-나)     ,근질환,1 ,,1 ,
2024,신경과,1061090-다-1)          ,근질환,2 ,,2 ,
2024,신경과,1061091-가             ,운동신경원성 질환,3 ,,3 ,
2024,신경과,1061091-나-1)          ,운동신경원성 질환,1 ,,1 ,
2024,신경과,1139080-다             ,경련성 질환,296 ,296 ,,
2024,신경과,1139080-라-1)          ,경련성 질환,58 ,,58 ,
2024,신경과,1139080-마             ,경련성 질환,4 ,,,4.0
2024,신경과,1139081-가-2)-나)     ,이상운동증,2 ,2 ,,
2024,신경과,1139081-나-2)          ,이상운동증,36 ,36 ,,
2024,신경과,1139082-나-2)          ,중추신경계의 감염성질환,1 ,1 ,,
2024,신경과,1139084-가-2)          ,뇌졸중,10 ,,10 ,
2024,신경과,1139084-나-1)          ,뇌졸중,5 ,,5 ,
2024,신경과,1139084-나-2)          ,뇌졸중,8 ,,,8.0
2024,신경과,1139084의2-나-1)-다) ,두통,2 ,2 ,,
2024,신경과,1139085-나             ,다발성 경화증 및 시신경 척수염범주 질환,9 ,,9 ,
2024,신경과,1139085-다-1)          ,다발성 경화증 및 시신경 척수염범주 질환,1 ,,1 ,
2024,신경과,1139085-다-2)          ,다발성 경화증 및 시신경 척수염범주 질환,1 ,,,1.0
2024,신경과,1139086-나-2)          ,중추신경계의 선천성 질환·퇴행성 질환·염증성 탈수초성 질환 또는 대사성 질환,17 ,17 ,,
2024,신경과,1139086-다             ,중추신경계의 선천성 질환·퇴행성 질환·염증성 탈수초성 질환 또는 대사성 질환,40 ,,40 ,
2024,신경과,1139086-라             ,중추신경계의 선천성 질환·퇴행성 질환·염증성 탈수초성 질환 또는 대사성 질환,8 ,,,8.0
2024,신경과,1139088-가-2)-나)     ,다발성 말초신경계 질환,1 ,1 ,,
2024,신경과,1139088-나-3)-나)     ,다발성 말초신경계 질환,4 ,4 ,,
2024,신경과,1139088-다-1)          ,다발성 말초신경계 질환,1 ,,1 ,
2024,신경과,1139088-다-2)          ,다발성 말초신경계 질환,1 ,,,1.0
2024,신경과,1139088-다-3)          ,다발성 말초신경계 질환,12 ,,12 ,
2024,신경과,1139088-라-2)          ,다발성 말초신경계 질환,1 ,,1 ,
2024,신경과,1139089-나             ,중증근무력증,8 ,,8 ,
2024,신경과,1139089-다             ,중증근무력증,3 ,,,3.0
2024,신경과,1139090-가-2)-나)     ,근질환,2 ,,2 ,
2024,신경과,1139090-나-2)          ,근질환,5 ,,5 ,
2024,신경과,1139090-나-3)          ,근질환,1 ,,,1.0
2024,신경과,1139090-다-1)          ,근질환,31 ,,31 ,
2024,신경과,1139090-다-2)          ,근질환,4 ,,,4.0
2024,신경과,1139091-가             ,운동신경원성 질환,8 ,,8 ,
2024,신경과,1139091-나-1)          ,운동신경원성 질환,1 ,,1 ,
2024,정신과,1061093-나             ,신경인지장애,3 ,,3 ,
2024,정신과,1061094-다             ,물질관련 및 중독 장애,4 ,4 ,,
2024,정신과,1061095-나             ,조현병ㆍ조현정동장애,45 ,,45 ,
2024,정신과,1061095-다             ,조현병ㆍ조현정동장애,3 ,,,3.0
2024,정신과,1061096-나             ,그 밖의 정신병적 장애,24 ,24 ,,
2024,정신과,1061096-다             ,그 밖의 정신병적 장애,25 ,,25 ,
2024,정신과,1061097-가-2)          ,양극성 및 관련 장애,7 ,,7 ,
2024,정신과,1061097-나-2)          ,양극성 및 관련 장애,20 ,20 ,,
2024,정신과,1061097-나-3)          ,양극성 및 관련 장애,2 ,,2 ,
2024,정신과,1061097-다-3)          ,양극성 및 관련 장애,108 ,108 ,,
2024,정신과,1061097-다-4)          ,양극성 및 관련 장애,19 ,,19 ,
2024,정신과,1061098-다             ,우울장애,"1,299 ","1,299 ",,
2024,정신과,1061098-라             ,우울장애,51 ,,51 ,
2024,정신과,1061099-다             ,불안장애ㆍ강박 및 관련 장애ㆍ외상 및 스트레스 관련 장애ㆍ해리장애ㆍ신체증상 및 관련 장애,493 ,493 ,,
2024,정신과,1061099-라             ,불안장애ㆍ강박 및 관련 장애ㆍ외상 및 스트레스 관련 장애ㆍ해리장애ㆍ신체증상 및 관련 장애,7 ,,7 ,
2024,정신과,1061100-다             ,"급식 및 섭식장애, 수면-각성장애, 그 밖의 성관련 장애 등",3 ,3 ,,
2024,정신과,1061101-다             ,기면증,13 ,13 ,,
2024,정신과,1061101-라             ,기면증,2 ,,2 ,
2024,정신과,1061102-다             ,성격장애,33 ,,33 ,
2024,정신과,1061102의2-다         ,"파괴적, 충동조절 및 품행장애",56 ,56 ,,
2024,정신과,1061102의2-라         ,"파괴적, 충동조절 및 품행장애",8 ,,8 ,
2024,정신과,1061102의3-나         ,성별불일치,30 ,,30 ,
2024,정신과,1061103-가-2)          ,경계선 지능 및 지적 장애(지적발달장애),201 ,201 ,,
2024,정신과,1061103-가-3)          ,경계선 지능 및 지적 장애(지적발달장애),67 ,,67 ,
2024,정신과,1061103-나-2)          ,경계선 지능 및 지적 장애(지적발달장애),137 ,,137 ,
2024,정신과,1061103-나-3)          ,경계선 지능 및 지적 장애(지적발달장애),3 ,,,3.0
2024,정신과,1061104-가-2)          ,자폐스펙트럼 장애,6 ,,6 ,
2024,정신과,1061104-나             ,자폐스펙트럼 장애,1 ,1 ,,
2024,정신과,1061104-나-2)          ,자폐스펙트럼 장애,35 ,35 ,,
2024,정신과,1061104-나-3)          ,자폐스펙트럼 장애,12 ,,12 ,
2024,정신과,1061104의2-다         ,신경발달장애,237 ,237 ,,
2024,정신과,1061104의2-라         ,신경발달장애,15 ,,15 ,
2024,정신과,1061105-다             ,달리 분류되지 않는 정신건강의학적 상태,1 ,1 ,,
2024,정신과,1139093-나             ,신경인지장애,7 ,,7 ,
2024,정신과,1139094-다             ,물질관련 및 중독 장애,3 ,3 ,,
2024,정신과,1139095-나             ,조현병ㆍ조현정동장애,103 ,,103 ,
2024,정신과,1139095-다             ,조현병ㆍ조현정동장애,6 ,,,6.0
2024,정신과,1139096-나             ,그 밖의 정신병적 장애,29 ,29 ,,
2024,정신과,1139096-다             ,그 밖의 정신병적 장애,22 ,,22 ,
2024,정신과,1139097-가-2)          ,양극성 및 관련 장애,39 ,,39 ,
2024,정신과,1139097-나-2)          ,양극성 및 관련 장애,22 ,22 ,,
2024,정신과,1139097-나-3)          ,양극성 및 관련 장애,6 ,,6 ,
2024,정신과,1139097-다-3)          ,양극성 및 관련 장애,87 ,87 ,,
2024,정신과,1139097-다-4)          ,양극성 및 관련 장애,40 ,,40 ,
2024,정신과,1139098-다             ,우울장애,938 ,938 ,,
2024,정신과,1139098-라             ,우울장애,93 ,,93 ,
2024,정신과,1139099-다             ,불안장애ㆍ강박 및 관련 장애ㆍ외상 및 스트레스 관련 장애ㆍ해리장애ㆍ신체증상 및 관련 장애,472 ,472 ,,
2024,정신과,1139099-라             ,불안장애ㆍ강박 및 관련 장애ㆍ외상 및 스트레스 관련 장애ㆍ해리장애ㆍ신체증상 및 관련 장애,10 ,,10 ,
2024,정신과,1139100-다             ,"급식 및 섭식장애, 수면-각성장애, 그 밖의 성관련 장애 등",3 ,3 ,,
2024,정신과,1139101-다             ,기면증,41 ,41 ,,
2024,정신과,1139101-라             ,기면증,3 ,,3 ,
2024,정신과,1139102-다             ,성격장애,12 ,,12 ,
2024,정신과,1139102의2-다         ,"파괴적, 충동조절 및 품행장애",25 ,25 ,,
2024,정신과,1139102의2-라         ,"파괴적, 충동조절 및 품행장애",1 ,,1 ,
2024,정신과,1139102의3-나         ,성별불일치(gender incongruence),1 ,1 ,,
2024,정신과,1139102의3-다         ,성별불일치(gender incongruence),14 ,,14 ,
2024,정신과,1139103-가-2)          ,경계선 지능 및 지적 장애(지적발달장애),784 ,784 ,,
2024,정신과,1139103-가-3)          ,경계선 지능 및 지적 장애(지적발달장애),113 ,,113 ,
2024,정신과,1139103-나-2)          ,경계선 지능 및 지적 장애(지적발달장애),498 ,,498 ,
2024,정신과,1139103-나-3)          ,경계선 지능 및 지적 장애(지적발달장애),15 ,,,15.0
2024,정신과,1139104-나             ,자폐스펙트럼 장애,100 ,100 ,,
2024,정신과,1139104-다             ,자폐스펙트럼 장애,111 ,,111 ,
2024,정신과,1139104-라             ,자폐스펙트럼 장애,5 ,,,5.0
2024,정신과,1139104의2-다         ,신경발달장애,527 ,527 ,,
2024,정신과,1139104의2-라         ,신경발달장애,53 ,,53 ,
2024,피부과,1061108의2-나         ,엘러스 단로스 증후군,1 ,1 ,,
2024,피부과,1061111-나             ,아토피성 피부질환이나 그 밖에 이에 준하는 재발성 피부염,56 ,56 ,,
2024,피부과,1061111-다             ,아토피성 피부질환이나 그 밖에 이에 준하는 재발성 피부염,2 ,,2 ,
2024,피부과,1061114-나             ,건선 및 이에 준하는 피부질환,2 ,2 ,,
2024,피부과,1061114-다             ,건선 및 이에 준하는 피부질환,1 ,,1 ,
2024,피부과,1061116-나             ,두드러기 또는 혈관 부종,8 ,8 ,,
2024,피부과,1061119-나             ,청피반양 혈관염 및 이에 준하는 피부질환,1 ,1 ,,
2024,피부과,1061128-다             ,"주사(Rosacea), 여드름 및 화농성 한선염",2 ,2 ,,
2024,피부과,1061129-다             ,켈로이드성 반흔,2 ,2 ,,
2024,피부과,1061130-나             ,"백반증, 백색증 및 이에 준하는 색소이상질환",1 ,1 ,,
2024,피부과,1061130-다             ,"백반증, 백색증 및 이에 준하는 색소이상질환",1 ,,1 ,
2024,피부과,1061131-나             ,탈모증,1 ,1 ,,
2024,피부과,1061131-다             ,탈모증,5 ,,5 ,
2024,피부과,1061136-나             ,수장족저 각화증,1 ,1 ,,
2024,피부과,1061139-나             ,손바닥 다한증,1 ,1 ,,
2024,피부과,1139108-나             ,유전성 또는 대사성 피부질환,14 ,14 ,,
2024,피부과,1139108-다             ,유전성 또는 대사성 피부질환,4 ,,4 ,
2024,피부과,1139111-나             ,아토피성 피부질환이나 그 밖에 이에 준하는 재발성 피부염,183 ,183 ,,
2024,피부과,1139111-다             ,아토피성 피부질환이나 그 밖에 이에 준하는 재발성 피부염,5 ,,5 ,
2024,피부과,1139114-나             ,건선 및 이에 준하는 피부질환,10 ,10 ,,
2024,피부과,1139116-나             ,두드러기 또는 혈관 부종,8 ,8 ,,
2024,피부과,1139116-다             ,두드러기 또는 혈관 부종,3 ,,3 ,
2024,피부과,1139117-나             ,다형홍반,4 ,4 ,,
2024,피부과,1139119-나             ,청피반양 혈관염 및 이에 준하는 피부질환,1 ,1 ,,
2024,피부과,1139120-가-1)-나)     ,교원성 질환,2 ,2 ,,
2024,피부과,1139121-나             ,베체트병,2 ,2 ,,
2024,피부과,1139121-마             ,베체트병,1 ,,1 ,
2024,피부과,1139122-나             ,천포창 및 이에 준한 수포성 질환,3 ,,3 ,
2024,피부과,1139125-다             ,매독,1 ,,1 ,
2024,피부과,1139128-다             ,"주사(Rosacea), 여드름 및 화농성 한선염",10 ,10 ,,
2024,피부과,1139129-다             ,켈로이드성 반흔,2 ,2 ,,
2024,피부과,1139130-나             ,"백반증, 백색증 및 이에 준하는 색소이상질환",4 ,4 ,,
2024,피부과,1139130-다             ,"백반증, 백색증 및 이에 준하는 색소이상질환",1 ,,1 ,
2024,피부과,1139131-나             ,탈모증,4 ,4 ,,
2024,피부과,1139131-다             ,탈모증,13 ,,13 ,
2024,피부과,1139133-나             ,피부 악성종양,6 ,,,6.0
2024,피부과,1139134-가             ,랑게르한스 조직구조직구증,1 ,1 ,,
2024,피부과,1139136-나             ,수장족저 각화증,1 ,1 ,,
2024,피부과,1139139-나             ,손바닥 다한증,18 ,18 ,,
2024,일반외과,1061143-나-2)          ,종양,1 ,,,1.0
2024,일반외과,1061145-다             ,갑상샘절제술을 한 경우,1 ,,1 ,
2024,일반외과,1061146-나             ,비장적출술 또는 성형술을 한 경우,2 ,,2 ,
2024,일반외과,1061148-나-1)-나)     ,장절제술 또는 단순봉합술,1 ,1 ,,
2024,일반외과,1061148-다-1)-가)     ,장절제술 또는 단순봉합술,2 ,2 ,,
2024,일반외과,1061149-사-2)          ,항문 및 직장질환,1 ,,1 ,
2024,일반외과,1061149-아             ,항문 및 직장질환,1 ,1 ,,
2024,일반외과,1061149-자-3)          ,항문 및 직장질환,1 ,,1 ,
2024,일반외과,1061152-나             ,복부수술 후 발생한 유착성 장폐색,1 ,1 ,,
2024,일반외과,1061156-다             ,간수술을 한 경우,1 ,,1 ,
2024,일반외과,1061156-라-1)          ,간수술을 한 경우,1 ,,1 ,
2024,일반외과,1061167-다             ,외상성 동맥 손상,1 ,1 ,,
2024,일반외과,1061168-다             ,심부정맥질환 등,1 ,,1 ,
2024,일반외과,1061171-나             ,임파관계 질환,2 ,,2 ,
2024,일반외과,1061172-라-1)          ,혈관기형,2 ,2 ,,
2024,일반외과,1061172-라-2)          ,혈관기형,4 ,,4 ,
2024,일반외과,1139143-가-3)          ,종양,2 ,,2 ,
2024,일반외과,1139143-나-1)          ,종양,1 ,1 ,,
2024,일반외과,1139143-나-2)          ,종양,25 ,,,25.0
2024,일반외과,1139145-나             ,갑상샘절제술을 한 경우,7 ,7 ,,
2024,일반외과,1139145-다             ,갑상샘절제술을 한 경우,13 ,,13 ,
2024,일반외과,1139146-가             ,비장적출술 또는 성형술을 한 경우,6 ,6 ,,
2024,일반외과,1139146-나             ,비장적출술 또는 성형술을 한 경우,20 ,,20 ,
2024,일반외과,1139148-가-2)          ,장절제술 또는 단순봉합술,5 ,5 ,,
2024,일반외과,1139148-나-1)-나)     ,장절제술 또는 단순봉합술,26 ,26 ,,
2024,일반외과,1139148-나-2)          ,장절제술 또는 단순봉합술,1 ,,,1.0
2024,일반외과,1139148-다-1)-가)     ,장절제술 또는 단순봉합술,26 ,26 ,,
2024,일반외과,1139148-다-1)-나)     ,장절제술 또는 단순봉합술,20 ,,20 ,
2024,일반외과,1139148-다-1)-다)     ,장절제술 또는 단순봉합술,6 ,,,6.0
2024,일반외과,1139149-다-3)          ,항문 및 직장질환,1 ,,1 ,
2024,일반외과,1139149-마             ,항문 및 직장질환,8 ,8 ,,
2024,일반외과,1139149-사-2)          ,항문 및 직장질환,13 ,,13 ,
2024,일반외과,1139149-타-2)          ,항문 및 직장질환,1 ,,1 ,
2024,일반외과,1139150-나             ,인공항문,1 ,,,1.0
2024,일반외과,1139152-가             ,복부수술 후 발생한 유착성 장폐색,3 ,3 ,,
2024,일반외과,1139152-나             ,복부수술 후 발생한 유착성 장폐색,9 ,9 ,,
2024,일반외과,1139156-다             ,간수술을 한 경우,1 ,,1 ,
2024,일반외과,1139156-라-1)          ,간수술을 한 경우,18 ,,18 ,
2024,일반외과,1139156-라-2)          ,간수술을 한 경우,1 ,,,1.0
2024,일반외과,1139158                 ,문맥고혈압에 대한 수술조작,1 ,,,1.0
2024,일반외과,1139159-다             ,담낭 및 담도수술을 한 경우,6 ,,6 ,
2024,일반외과,1139159-마             ,담낭 및 담도수술을 한 경우,8 ,,8 ,
2024,일반외과,1139160-나             ,췌장수술을 한 경우,5 ,,5 ,
2024,일반외과,1139160-마             ,췌장수술을 한 경우,1 ,,,1.0
2024,일반외과,1139163-나             ,화상,2 ,2 ,,
2024,일반외과,1139163-라             ,화상,3 ,,3 ,
2024,일반외과,1139165-가-1)          ,동맥질환,1 ,,1 ,
2024,일반외과,1139165-가-2)          ,동맥질환,1 ,,1 ,
