계약번호,계약명,업무구분명,계약체결형태명,계약체결방법명,계약체결일자,계약기간,계약기관구분명,계약기관명,계약기관담당부서명,계약기관담당자명,수요기관구분명,수요기관명,대표업체명
KD72CB04O01,잠수함 레이더 부품정비,외자,내역입찰(최저가),수의계약,2017-02-21,2017-02-21~2018-12-31,국가기관,방위사업청,대정부계약팀(구:19.09.16),최윤정,국가기관,방위사업청,Thales Deutschland GmbH
KD73AB04O03,REPAIR FOR VCN-235 A/C,외자,내역입찰(최저가),수의계약,2017-02-21,2017-02-21~2019-12-31,국가기관,방위사업청,대정부계약팀(구:19.09.16),이지수,국가기관,방위사업청,"DIRGANTARA INDONESIA (PERSERO), PT"
KD73AB04O04,탄도유도탄조기경보레이더 부품정비,외자,내역입찰(최저가),수의계약,2017-03-10,2017-03-10~2018-12-31,국가기관,방위사업청,대정부계약팀(구:19.09.16),정하윤,국가기관,방위사업청,ELTA SYSTEMS LTD.
KD73AM08O01,탄도유도탄 조기경보레이더 부품구매 한도액계약,외자,내역입찰(최저가),수의계약,2017-03-13,2017-03-13~2018-11-30,국가기관,방위사업청,국제부품계약팀(구:19.09.16),장혜진,국가기관,방위사업청,ELTA SYSTEMS LTD.
KD73AB04O05,Repair for RC-800 Avionics,외자,내역입찰(최저가),수의계약,2017-03-17,2017-03-17~2018-12-31,국가기관,방위사업청,대정부계약팀(구:19.09.16),변성훈,국가기관,방위사업청,ROCKWELL COLLINS INC
KD71AB04O03,Repair for 500MD,외자,내역입찰(최저가),수의계약,2017-03-27,2017-03-27~2018-11-30,국가기관,방위사업청,대정부계약팀(구:19.09.16),김동환,국가기관,방위사업청,AEW COMPANY
KD71AM08P02,Spare Part for UAV,외자,리스입찰,수의계약,2017-03-27,2017-03-27~2018-06-30,국가기관,방위사업청,국제부품계약팀(구:19.09.16),김동환,국가기관,방위사업청,ISRAEL AEROSPACE INDUSTRIES Ltd.
KD73AM08P92,VH-92 부품구매 BOA,외자,리스입찰,수의계약,2017-03-28,2017-03-28~2019-12-10,국가기관,방위사업청,국제부품계약팀(구:19.09.16),장혜진,국가기관,방위사업청,SIKORSKY INTERNATIONAL OPERATIONS INC
KD71GM08P01,S/P FOR AUTHUR-K RADAR,외자,리스입찰,수의계약,2017-03-30,2017-03-30~2018-12-31,국가기관,방위사업청,국제부품계약팀(구:19.09.16),정수진,국가기관,방위사업청,"Saab AB (publ), Saab Microwave Systems"
KD72DM08O01,"BOA S/P for DA-05, SMART-L",외자,내역입찰(최저가),수의계약,2017-03-30,2017-03-30~2018-12-31,국가기관,방위사업청,국제부품계약팀(구:19.09.16),이우용,국가기관,방위사업청,THALES NEDERLAND B.V
KD71AB04O04,Repair for UH-60 Hoist,외자,내역입찰(최저가),수의계약,2017-03-31,2017-03-31~2018-11-30,국가기관,방위사업청,대정부계약팀(구:19.09.16),윤선중,국가기관,방위사업청,Goodrich Corp (a UTC Aerospace systems company)
KD73KB04O01,REPAIR FOR AGM-142,외자,내역입찰(최저가),수의계약,2017-03-31,2017-03-31~2018-12-31,국가기관,방위사업청,대정부계약팀(구:19.09.16),이지수,국가기관,방위사업청,RAFAEL ADVANCED DEFENSE SYSTEMS Ltd.
KD71BB04O02,Repair for MVRS,외자,내역입찰(최저가),수의계약,2017-04-02,2017-04-02~2018-11-30,국가기관,방위사업청,대정부계약팀(구:19.09.16),김동환,국가기관,방위사업청,Weibel Scientific A/S(사본임)
KD72AM08O01,Lynx Radar BOA,외자,내역입찰(최저가),수의계약,2017-04-05,2017-04-05~2018-12-30,국가기관,방위사업청,국제부품계약팀(구:19.09.16),이우용,국가기관,방위사업청,Leonardo UK Ltd
KD72BM08O01,BOA S/P FOR FIRING EQUIPMENT,외자,내역입찰(최저가),수의계약,2017-04-05,2017-04-05~2019-12-31,국가기관,방위사업청,국제부품계약팀(구:19.09.16),이영민,국가기관,방위사업청,THALES NEDERLAND B.V
KD73AM08P93,KT-1 사출좌석 부품구매(MBA),외자,내역입찰(최저가),수의계약,2017-04-05,2017-04-05~2018-11-30,국가기관,방위사업청,국제부품계약팀(구:19.09.16),최용규,국가기관,방위사업청,"MARTIN-BAKER AIRCRAFT CO.,LTD."
KD71GM08P02,S/P FOR BV-206,외자,리스입찰,수의계약,2017-04-06,2017-04-06~2018-11-30,국가기관,방위사업청,국제부품계약팀(구:19.09.16),정수진,국가기관,방위사업청,BAE Systems Hagglunds AB
KD72AB04O01,Lynx R/D 부품정비,외자,내역입찰(최저가),수의계약,2017-04-14,2017-04-14~2019-12-31,국가기관,방위사업청,대정부계약팀(구:19.09.16),이우용,국가기관,방위사업청,Leonardo UK Ltd
KD71AM08P03,S/P FOR UH-60 HELICOPTER,외자,리스입찰,수의계약,2017-04-27,2017-04-27~2018-12-31,국가기관,방위사업청,국제부품계약팀(구:19.09.16),김동환,국가기관,방위사업청,SIKORSKY INTERNATIONAL OPERATIONS INC
KD72CM08O01,해군함정 MTU 엔진 수리부속 한도액계약,외자,내역입찰(최저가),수의계약,2017-04-27,2017-04-27~2019-12-31,국가기관,방위사업청,국제부품계약팀(구:19.09.16),남원석,국가기관,방위사업청,Rolls-Royce Solutions Asia Pte. Ltd.
KD71GM08P03,S/P FOR K-1 TANK ENGINE,외자,리스입찰,수의계약,2017-04-28,2017-04-28~2018-12-31,국가기관,방위사업청,국제부품계약팀(구:19.09.16),정수진,국가기관,방위사업청,Rolls-Royce Solutions Asia Pte. Ltd.
KD71GM08P04,S/P FOR K-9 Self Propelled Gun Engine,외자,리스입찰,수의계약,2017-04-28,2017-04-28~2018-12-31,국가기관,방위사업청,국제부품계약팀(구:19.09.16),김누리,국가기관,방위사업청,Rolls-Royce Solutions Asia Pte. Ltd.
KD72BB04O02,무인기뢰처리기(MDV) 부품계약,외자,내역입찰(최저가),수의계약,2017-05-01,2017-05-01~2019-03-31,국가기관,방위사업청,대정부계약팀(구:19.09.16),최윤정,국가기관,방위사업청,Idrobotica SA
KD73AM08C94,VCN-235 부품구매 BOA,외자,내역입찰(최저가),수의계약,2017-05-01,2017-05-01~2019-10-31,국가기관,방위사업청,국제부품계약팀(구:19.09.16),최용규,국가기관,방위사업청,PT.DIRGANTARA INDONESIA
KD72BM08O02,해군 지휘·통제체계 및 WSA-423 부품구매 BOA사업,외자,내역입찰(최저가),수의계약,2017-05-02,2017-05-02~2019-12-31,국가기관,방위사업청,국제부품계약팀(구:19.09.16),이효진,국가기관,방위사업청,BAE Systems Surface Ships Limited
KD72BM08O03,해군 지휘·통제체계 및 WSA-423 부품구매 BOA사업,외자,내역입찰(최저가),수의계약,2017-05-02,2017-05-02~2019-12-31,국가기관,방위사업청,국제부품계약팀(구:19.09.16),이영민,국가기관,방위사업청,Ultra Electronics Limited
KD73AM08P95,HS-748 항공기 부품구매,외자,내역입찰(최저가),수의계약,2017-05-02,2017-05-02~2019-11-30,국가기관,방위사업청,국제부품계약팀(구:19.09.16),심연주,국가기관,방위사업청,Saywell International Limited
KD72AB04O02,P-3CK 레이더 부품정비,외자,내역입찰(최저가),수의계약,2017-05-10,2017-05-10~2019-12-31,국가기관,방위사업청,대정부계약팀(구:19.09.16),이영림,국가기관,방위사업청,ELTA SYSTEMS LTD.
KD72DM08O02,BOA S/P for VDS-2093 and 193 MOD1,외자,내역입찰(최저가),수의계약,2017-05-10,2017-05-10~2019-12-31,국가기관,방위사업청,국제부품계약팀(구:19.09.16),남원석,국가기관,방위사업청,Thales UK Limited
KD72CA59O01,대형수송함 후속함 관제레이더,외자,내역입찰(최저가),수의계약,2017-05-12,2017-05-12~2020-06-30,국가기관,방위사업청,국제장비계약팀(구:19.09.16),심보현,국가기관,방위사업청,Leonardo S.P.A.
KD72CD08O02,Spare Parts For Warships,외자,총액제,일반경쟁,2017-05-12,2017-05-12~2018-06-30,국가기관,방위사업청,국제부품계약팀(구:19.09.16),김웅호,국가기관,방위사업청,GBI KOREA
KD73AB04O06,REPAIR FOR (K)F-16 A/C,외자,내역입찰(최저가),수의계약,2017-05-15,2017-05-15~2018-12-31,국가기관,방위사업청,대정부계약팀(구:19.09.16),정하윤,국가기관,방위사업청,"AERO PRECISION INDUSTRIES, LLC."
KD74RB04O01,REPAIR FOR NIGHT OWL AND 709 SYSTEM,외자,내역입찰(최저가),수의계약,2017-05-17,2017-05-17~2019-11-30,국가기관,방위사업청,대정부계약팀(구:19.09.16),이수경,국가기관,방위사업청,"General Dynamics Mission Systems, Inc"
KD71AB04O05,Repair for Helicopter Communication Equipment,외자,내역입찰(최저가),수의계약,2017-05-22,2017-05-22~2018-11-30,국가기관,방위사업청,대정부계약팀(구:19.09.16),이수경,국가기관,방위사업청,ROCKWELL COLLINS INC
KD71DH09O01,소형무인기 탐지레이더(ELM-2026BF) 임차,외자,내역입찰(최저가),수의계약,2017-05-22,2017-05-22~2018-05-21,국가기관,방위사업청,미래전력사업국제확정계약팀,고예숙,국가기관,방위사업청,ELTA SYSTEMS LTD.
KD71GM08P05,S/P FOR K-1 TANK BEARING(SKF),외자,리스입찰,수의계약,2017-05-22,2017-05-22~2018-11-30,국가기관,방위사업청,국제부품계약팀(구:19.09.16),정수진,국가기관,방위사업청,SKF Korea  LTD
KD71GM08P06,S/P FOR K-9 BEARING(SKF),외자,리스입찰,수의계약,2017-05-22,2017-05-22~2018-01-24,국가기관,방위사업청,국제부품계약팀(구:19.09.16),이정수,국가기관,방위사업청,SKF Korea  LTD
KD72CD08O03,Spare Parts For Warships,외자,총액제,일반경쟁,2017-05-22,2017-05-22~2018-06-30,국가기관,방위사업청,국제부품계약팀(구:19.09.16),김웅호,국가기관,방위사업청,"WooYoung Mulsan Co.,Ltd"
KD72CM08B01,S/P FOR SUBMARINE,외자,내역입찰(최저가),수의계약,2017-05-24,2017-05-24~2019-12-31,국가기관,방위사업청,국제부품계약팀(구:19.09.16),남원석,국가기관,방위사업청,ThyssenKrupp Marine Systems GmbH
KD72CD08O05,Spare Parts for Warships,외자,총액제,일반경쟁,2017-05-25,2017-05-25~2018-06-30,국가기관,방위사업청,국제부품계약팀(구:19.09.16),김웅호,국가기관,방위사업청,"WooYoung Mulsan Co.,Ltd"
KD71ED08O01,Spare Parts for General Equipment,외자,총액제,일반경쟁,2017-05-26,2017-05-26~2018-06-30,국가기관,방위사업청,국제부품계약팀(구:19.09.16),박보영,국가기관,방위사업청,"NASK KOREA CO.,LTD."
KD73AB04O07,REPAIR FOR RC-800 ENGINE,외자,내역입찰(최저가),수의계약,2017-05-26,2017-05-26~2018-12-31,국가기관,방위사업청,대정부계약팀(구:19.09.16),이지수,국가기관,방위사업청,"AERO PRECISION INDUSTRIES, LLC."
KD73KB04O02,REPAIR FOR AGM-65 TEST SYSTEMS,외자,내역입찰(최저가),수의계약,2017-05-26,2017-05-26~2018-12-31,국가기관,방위사업청,대정부계약팀(구:19.09.16),정하윤,국가기관,방위사업청,"AERO PRECISION INDUSTRIES, LLC."
KD71RM08P01,S/P FOR 709 SYSTEMS,외자,내역입찰(최저가),수의계약,2017-05-29,2017-05-29~2018-12-31,국가기관,방위사업청,국제부품계약팀(구:19.09.16),이수경,국가기관,방위사업청,"General Dynamics Mission Systems, Inc"
KD72BB04O03,SEA-SKUA 부품정비,외자,내역입찰(최저가),수의계약,2017-05-30,2017-05-30~2019-12-31,국가기관,방위사업청,대정부계약팀(구:19.09.16),최윤정,국가기관,방위사업청,MBDA UK LIMITED
KD72BD08O02,S/P for Naval Firepower Systems,외자,총액제,일반경쟁,2017-05-31,2017-05-31~2018-06-30,국가기관,방위사업청,국제부품계약팀(구:19.09.16),김성민,국가기관,방위사업청,"Ko Ex International, Inc."
KD73AM08P96,Spare Parts for ACMI-POD,외자,내역입찰(최저가),수의계약,2017-05-31,2017-05-31~2017-12-31,국가기관,방위사업청,국제부품계약팀(구:19.09.16),최용규,국가기관,방위사업청,ELBIT SYSTEMS LTD
KD71ED08O02,Spare Parts for General Equipment,외자,총액제,일반경쟁,2017-06-07,2017-06-07~2018-06-30,국가기관,방위사업청,국제부품계약팀(구:19.09.16),박보영,국가기관,방위사업청,MAVEN ENGINEERING CORPORATION
KD73AB04O08,Repair for CN-235 A/C,외자,내역입찰(최저가),수의계약,2017-06-07,2017-06-07~2019-12-31,국가기관,방위사업청,대정부계약팀(구:19.09.16),변성훈,국가기관,방위사업청,AIRBUS DEFENCE AND SPACE SA
KD73AB04O09,HS-748 부품정비,외자,내역입찰(최저가),수의계약,2017-06-07,2017-06-07~2019-12-31,국가기관,방위사업청,대정부계약팀(구:19.09.16),변성훈,국가기관,방위사업청,Saywell International Limited
KD73AM08C97,Spare Parts for CN-235,외자,리스입찰,수의계약,2017-06-07,2017-06-07~2019-12-31,국가기관,방위사업청,국제부품계약팀(구:19.09.16),최용규,국가기관,방위사업청,AIRBUS DEFENCE AND SPACE SA
KD72AB04O03,LYNX 기체통신 부품정비,외자,내역입찰(최저가),수의계약,2017-06-08,2017-06-08~2019-12-31,국가기관,방위사업청,대정부계약팀(구:19.09.16),이우용,국가기관,방위사업청,Leonardo UK Ltd
KD73AG08K23,Tech-Pub for CN-235 A/C,외자,내역입찰(최저가),수의계약,2017-06-12,2017-06-12~2019-12-31,국가기관,방위사업청,국제부품계약팀(구:19.09.16),최용규,국가기관,방위사업청,AIRBUS DEFENCE AND SPACE SA
KD73AM08H12,C-130H 자체보호장비 부품구매 BOA,외자,리스입찰,수의계약,2017-06-12,2017-06-12~2019-11-30,국가기관,방위사업청,국제부품계약팀(구:19.09.16),심연주,국가기관,방위사업청,ELBIT SYSTEMS EW AND SIGINT-ELISRA
KD72CD08O18,CIRCUIT CARD ASSEMB,외자,총액제,일반경쟁,2017-06-13,2017-06-13~2018-06-30,국가기관,방위사업청,국제부품계약팀(구:19.09.16),김웅호,국가기관,방위사업청,Aviation Parts Pro Inc
KD71AB04O06,Repair for UH-60,외자,내역입찰(최저가),수의계약,2017-06-15,2017-06-15~2018-12-31,국가기관,방위사업청,대정부계약팀(구:19.09.16),정수진,국가기관,방위사업청,SIKORSKY INTERNATIONAL OPERATIONS INC
KD73AM08S32,AS-332 기관 부품구매,외자,내역입찰(최저가),수의계약,2017-06-15,2017-06-15~2019-11-30,국가기관,방위사업청,국제부품계약팀(구:19.09.16),장혜진,국가기관,방위사업청,Safran Helicopter Engines Asia
KD71FB04O02,The Repair services for Chunma Navigation Set,외자,내역입찰(최저가),수의계약,2017-06-16,2017-06-16~2018-11-30,국가기관,방위사업청,대정부계약팀(구:19.09.16),김동환,국가기관,방위사업청,"AERO PRECISION INDUSTRIES, LLC."
KD72CD08O20,S/P FOR WARSHIPS,외자,총액제,일반경쟁,2017-06-16,2017-06-16~2018-06-30,국가기관,방위사업청,국제부품계약팀(구:19.09.16),김웅호,국가기관,방위사업청,"Dongshin Int&#39;l Co.,ltd"
KD72CD08O21,S/P FOR WARSHIPS,외자,총액제,일반경쟁,2017-06-16,2017-06-16~2018-06-30,국가기관,방위사업청,국제부품계약팀(구:19.09.16),김웅호,국가기관,방위사업청,"Ko Ex International, Inc."
KD72CD08O22,S/P FOR WARSHIPS,외자,총액제,일반경쟁,2017-06-16,2017-06-16~2018-06-30,국가기관,방위사업청,국제부품계약팀(구:19.09.16),김웅호,국가기관,방위사업청,"E&IT Holdings Co., Ltd"
KD71AD08B07,Polyurethane coating(AH-1S),외자,총액제,일반경쟁,2017-06-19,2017-06-19~2018-06-30,국가기관,방위사업청,국제부품계약팀(구:19.09.16),인민식,국가기관,방위사업청,WINSWINGKOREA Co. LTD
KD71GM08P07,S/P FOR K-1 TANK TRANSMISSION,외자,리스입찰,수의계약,2017-06-19,2017-06-19~2019-12-31,국가기관,방위사업청,국제부품계약팀(구:19.09.16),정수진,국가기관,방위사업청,ZF FRIEDRICHSHAFEN AG
KD72DD08O01,S/P FOR COMMUNICATION EQPT,외자,총액제,일반경쟁,2017-06-21,2017-06-21~2018-06-30,국가기관,방위사업청,국제부품계약팀(구:19.09.16),김성민,국가기관,방위사업청,Auto Trans
KD72DD08O02,S/P FOR COMMUNICATION EQPT,외자,총액제,일반경쟁,2017-06-21,2017-06-21~2018-06-30,국가기관,방위사업청,국제부품계약팀(구:19.09.16),김성민,국가기관,방위사업청,Wonil International Ltd.
KD72DD08O03,S/P FOR COMMUNICATION EQPT,외자,총액제,일반경쟁,2017-06-21,2017-06-21~2018-06-30,국가기관,방위사업청,국제부품계약팀(구:19.09.16),김성민,국가기관,방위사업청,"NASK KOREA CO.,LTD."
KD72DD08O04,S/P FOR COMMUNICATION EQPT,외자,총액제,일반경쟁,2017-06-21,2017-06-21~2018-06-30,국가기관,방위사업청,국제부품계약팀(구:19.09.16),김성민,국가기관,방위사업청,"JSYS, Inc."
KD72DD08O05,S/P FOR COMMUNICATION EQPT,외자,총액제,일반경쟁,2017-06-21,2017-06-21~2018-06-30,국가기관,방위사업청,국제부품계약팀(구:19.09.16),김성민,국가기관,방위사업청,SPACELINK Corp.
KD71AB04O08,Repair for CH-47,외자,내역입찰(최저가),수의계약,2017-06-22,2017-06-22~2018-11-30,국가기관,방위사업청,대정부계약팀(구:19.09.16),이수경,국가기관,방위사업청,THE BOEING COMPANY
KD71GM08P08,S/P FOR T-80U AND BMP-3,외자,리스입찰,수의계약,2017-06-22,2017-06-22~,국가기관,방위사업청,국제부품계약팀(구:19.09.16),정수진,국가기관,방위사업청,"ROSOBORONEKSPORT, AO"
KD71AB04O07,Repair for UH-60 HMU,외자,내역입찰(최저가),수의계약,2017-06-23,2017-06-23~2018-11-30,국가기관,방위사업청,대정부계약팀(구:19.09.16),윤선중,국가기관,방위사업청,INTEGRATED PROCUREMENT TECHNOLOGIES INC
KD71AM08P04,S/P FOR 500MD,외자,내역입찰(최저가),수의계약,2017-06-26,2017-06-26~2018-12-31,국가기관,방위사업청,국제부품계약팀(구:19.09.16),김동환,국가기관,방위사업청,AEW COMPANY
KD72BB04O04,중어뢰(SUT) 부품정비,외자,내역입찰(최저가),수의계약,2017-06-26,2017-06-26~2019-12-31,국가기관,방위사업청,대정부계약팀(구:19.09.16),최윤정,국가기관,방위사업청,ThyssenKrupp Marine Systems GmbH
KD72CB04O02,잠수함 부품정비,외자,내역입찰(최저가),수의계약,2017-06-26,2017-06-26~2019-12-31,국가기관,방위사업청,대정부계약팀(구:19.09.16),최윤정,국가기관,방위사업청,ThyssenKrupp Marine Systems GmbH
KD71FD08O02,S/P FOR ANTI AIR EQUIPMENT,외자,총액제,일반경쟁,2017-06-27,2017-06-27~2018-06-30,국가기관,방위사업청,국제부품계약팀(구:19.09.16),윤효주,국가기관,방위사업청,WINSWINGKOREA Co. LTD
KD71FD08O08,S/P FOR ANTI AIR EQUIPMENT,외자,리스입찰,일반경쟁,2017-06-27,2017-06-27~2017-10-31,국가기관,방위사업청,국제부품계약팀(구:19.09.16),윤효주,국가기관,방위사업청,"Karmel Technologies, Inc"
KD71FD08O09,S/P FOR ANTI AIR EQUIPMENT,외자,리스입찰,일반경쟁,2017-06-27,2017-06-27~2018-06-30,국가기관,방위사업청,국제부품계약팀(구:19.09.16),윤효주,국가기관,방위사업청,Aviation Parts Pro Inc
KD71FD08O03,S/P FOR ANTI AIR EQUIPMENT,외자,총액제,일반경쟁,2017-06-28,2017-06-28~2018-06-30,국가기관,방위사업청,국제부품계약팀(구:19.09.16),윤효주,국가기관,방위사업청,"HN Co., Ltd."
KD72CD08O07,Spare Parts for Warships,외자,총액제,일반경쟁,2017-06-28,2017-06-28~2018-06-30,국가기관,방위사업청,국제부품계약팀(구:19.09.16),김웅호,국가기관,방위사업청,RUTC
KD72CD08O13,Spare Parts for Warships,외자,총액제,일반경쟁,2017-06-28,2017-06-28~2018-06-30,국가기관,방위사업청,국제부품계약팀(구:19.09.16),김웅호,국가기관,방위사업청,"KONECT WORLD CO., LTD."
KD72CD08P29,S/P FOR WARSHIPS,외자,총액제,일반경쟁,2017-06-28,2017-06-28~2018-06-30,국가기관,방위사업청,국제부품계약팀(구:19.09.16),김웅호,국가기관,방위사업청,"W.I. Engineering Co., Ltd"
KD72CD08O09,Spare Parts for Warships,외자,총액제,일반경쟁,2017-06-29,2017-06-29~2018-06-30,국가기관,방위사업청,국제부품계약팀(구:19.09.16),김웅호,국가기관,방위사업청,"Ko Ex International, Inc."
KD72CD08O10,Spare Parts for Warships,외자,총액제,일반경쟁,2017-06-29,2017-06-29~2018-06-30,국가기관,방위사업청,국제부품계약팀(구:19.09.16),김웅호,국가기관,방위사업청,DICOH GmbH
KD72CD08P30,S/P FOR WARSHIPS,외자,단가제(최저가),일반경쟁,2017-06-29,2017-06-29~2018-06-30,국가기관,방위사업청,국제부품계약팀(구:19.09.16),김웅호,국가기관,방위사업청,HWAIL COMPANY
KD72CD08P31,S/P FOR WARSHIPS,외자,단가제(최저가),일반경쟁,2017-06-29,2017-06-29~2018-06-30,국가기관,방위사업청,국제부품계약팀(구:19.09.16),김웅호,국가기관,방위사업청,DACAN
KD72CD08P33,S/P FOR WARSHIPS,외자,총액제,일반경쟁,2017-06-29,2017-06-29~2018-06-30,국가기관,방위사업청,국제부품계약팀(구:19.09.16),김웅호,국가기관,방위사업청,HWAIL COMPANY
KD72CD08P34,S/P FOR WARSHIPS,외자,총액제,일반경쟁,2017-06-29,2017-06-29~2018-06-30,국가기관,방위사업청,국제부품계약팀(구:19.09.16),김웅호,국가기관,방위사업청,BH INTERNATIONAL
KD72CD08P35,S/P FOR WARSHIPS,외자,총액제,일반경쟁,2017-06-29,2017-06-29~2018-06-30,국가기관,방위사업청,국제부품계약팀(구:19.09.16),김웅호,국가기관,방위사업청,CUSTOM AERONAUTICAL SUPPORT
KD72EE09O01,소해함용 음탐기 기술용역,외자,내역입찰(최저가),수의계약,2017-06-29,2017-06-29~2017-10-13,국가기관,방위사업청,국제장비계약팀(구:19.09.16),양정규,국가기관,방위사업청,Thales UK Limited
KD71AB04O10,Repair for UAV Systems,외자,내역입찰(최저가),수의계약,2017-06-30,2017-06-30~2018-11-30,국가기관,방위사업청,대정부계약팀(구:19.09.16),이수경,국가기관,방위사업청,ISRAEL AEROSPACE INDUSTRIES Ltd.
KD71FB04O03,Repair Services for BIHO EOTS,외자,내역입찰(최저가),수의계약,2017-06-30,2017-06-30~2018-12-31,국가기관,방위사업청,대정부계약팀(구:19.09.16),김동환,국가기관,방위사업청,Raytheon Company(Space & Airborne Systems)
KD71GD08O08,S/P FOR TRACKED VEHICLE (우영물산),외자,총액제,일반경쟁,2017-06-30,2017-06-30~2018-06-30,국가기관,방위사업청,국제부품계약팀(구:19.09.16),박아름,국가기관,방위사업청,"WooYoung Mulsan Co.,Ltd"
KD71GM08P09,S/P FOR K1 TANK FUEL PUMP,외자,리스입찰,수의계약,2017-06-30,2017-06-30~2018-12-31,국가기관,방위사업청,국제부품계약팀(구:19.09.16),정수진,국가기관,방위사업청,HWAIL COMPANY
KD71GM08P10,S/P FOR K-9 FUEL PUMP,외자,리스입찰,수의계약,2017-06-30,2017-06-30~2018-12-31,국가기관,방위사업청,국제부품계약팀(구:19.09.16),이수경,국가기관,방위사업청,HWAIL COMPANY
KD72CD08A02,S/P FOR SUBMARINE,외자,총액제,일반경쟁,2017-06-30,2017-06-30~2019-03-31,국가기관,방위사업청,국제부품계약팀(구:19.09.16),주홍길,국가기관,방위사업청,DICOH GmbH
KD72CD08A03,S/P FOR SUBMARINE,외자,총액제,일반경쟁,2017-06-30,2017-06-30~2019-03-31,국가기관,방위사업청,국제부품계약팀(구:19.09.16),주홍길,국가기관,방위사업청,DICOH GmbH
KD72CD08O08,Spare Parts for Warships,외자,총액제,일반경쟁,2017-06-30,2017-06-30~2018-06-30,국가기관,방위사업청,국제부품계약팀(구:19.09.16),김웅호,국가기관,방위사업청,RUTC
KD72CD08P23,S/P FOR SUBMARINE,외자,단가제(최저가),일반경쟁,2017-06-30,2017-06-30~2019-03-31,국가기관,방위사업청,국제부품계약팀(구:19.09.16),주홍길,국가기관,방위사업청,CUSTOM AERONAUTICAL SUPPORT
KD74SE09O01,향백/709체계 기술지원,외자,내역입찰(최저가),수의계약,2017-06-30,2017-06-30~2019-06-30,국가기관,방위사업청,국제장비계약팀(구:19.09.16),곽종채,국가기관,방위사업청,"General Dynamics Mission Systems, Inc"
KD71AD08B04,S/P FOR HELICOPTER,외자,단가제(최저가),일반경쟁,2017-07-02,2017-07-02~2018-06-30,국가기관,방위사업청,국제부품계약팀(구:19.09.16),김재희,국가기관,방위사업청,"HN Co., Ltd."
KD71DD08O01,S/P FOR TRS (에이치앤),외자,총액제,일반경쟁,2017-07-03,2017-07-03~2018-06-30,국가기관,방위사업청,국제부품계약팀(구:19.09.16),박아름,국가기관,방위사업청,"HN Co., Ltd."
KD71FD08O11,S/P FOR ANTI AIR EQUIPMENT,외자,총액제,일반경쟁,2017-07-03,2017-07-03~2018-06-30,국가기관,방위사업청,국제부품계약팀(구:19.09.16),윤효주,국가기관,방위사업청,CUSTOM AERONAUTICAL SUPPORT
KD71MD08O01,Spare Parts for Chemical,외자,총액제,일반경쟁,2017-07-03,2017-07-03~2017-11-27,국가기관,방위사업청,국제부품계약팀(구:19.09.16),윤효주,국가기관,방위사업청,CKS
