집행예정월,판단번호,대표품명,집행유형,계약방법,집행기관,예산금액,입찰방법,진행상태,담당자명
2017-04-30,BED87003004,일반장비부속,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),462585292,단가제,2차공고의뢰중,이동국
2017-05-01,DAA97059001,항공기초과저지장비,장비,2단계경쟁(동시),국제장비계약팀(구:19.09.16),5486947551,총액제,2차공고의뢰중,김윤환
2017-05-01,DAA97099001,"활차, 인양용",장비,2단계경쟁(동시),국제장비계약팀(구:19.09.16),57222850,총액제,2차공고의뢰중,김윤환
2017-05-01,WKA97098001,전파기만용 탄약(RR-170 CHAFF),장비,2단계경쟁(동시),국제장비계약팀(구:19.09.16),22867750,총액제,2차공고의뢰중,김윤환
2017-05-10,DAA97004002,E-737 창정비 장비,장비,수의계약,국제장비계약팀(구:19.09.16),1614558600,총액제,2차공고의뢰중,구자육
2017-05-11,BNA97118001,폭발물처리 보호의(EOD 슈트),장비,2단계경쟁(동시),국제장비계약팀(구:19.09.16),485817097.5,총액제,2차공고의뢰중,정성민
2017-05-11,PBA97028001,K-3 기관총 홀로그램 조준경,장비,2단계경쟁(동시),국제장비계약팀(구:19.09.16),53319129,총액제,2차공고의뢰중,황병순
2017-05-11,WBA97031001,40밀리 6연발 고무탄발사기,장비,2단계경쟁(동시),국제장비계약팀(구:19.09.16),75787346,총액제,2차공고의뢰중,황병순
2017-05-11,PBA97030001,주야간 사거리 측정기,장비,2단계경쟁(동시),국제장비계약팀(구:19.09.16),142819167,총액제,2차공고의뢰중,황병순
2017-05-11,PBA97029001,K-6 기관총 홀로그램 조준경,장비,2단계경쟁(동시),국제장비계약팀(구:19.09.16),53319129,총액제,2차공고의뢰중,황병순
2017-05-16,PNC97040001,화학 생물 테러진압용 방독면,물자,2단계경쟁(동시),국제장비계약팀(구:19.09.16),152340224,총액제,2차공고의뢰중,황병순
2017-05-16,PNA97036001,폭발물 원격 이동기,장비,2단계경쟁(동시),국제장비계약팀(구:19.09.16),75348000,총액제,2차공고의뢰중,황병순
2017-05-19,PKC97123001,"127밀리(5""/54) 단장약 포구청소용",물자,2단계경쟁(동시),국제장비계약팀(구:19.09.16),23000000,단가제,2차공고의뢰중,고현정
2017-05-19,PKC97121001,20MM CIWS PHALANX 탄약,물자,2단계경쟁(동시),국제장비계약팀(구:19.09.16),3507655250,단가제,2차공고의뢰중,고현정
2017-05-19,PKC97124002,12게이지 엽총탄,물자,2단계경쟁(동시),국제장비계약팀(구:19.09.16),172500,단가제,2차공고의뢰중,고현정
2017-05-19,PKC97125002,5.56밀리 총류탄 발사약통,물자,2단계경쟁(동시),국제장비계약팀(구:19.09.16),1104000,단가제,2차공고의뢰중,고현정
2017-05-24,PKC97048001,12 게이지 슬러그탄,물자,2단계경쟁(동시),국제장비계약팀(구:19.09.16),39592200,단가제,2차공고의뢰중,남원석
2017-05-25,PKC97051001,7.62밀리 저격용 표준탄,물자,2단계경쟁(동시),국제장비계약팀(구:19.09.16),40365000,단가제,2차공고의뢰중,남원석
2017-05-25,PKC97050001,40밀리 고무충격탄,물자,2단계경쟁(동시),국제장비계약팀(구:19.09.16),37881000,단가제,2차공고의뢰중,남원석
2017-05-26,BAA97132002,피토관 및 정전기계통 시험기,장비,2단계경쟁(동시),국제장비계약팀(구:19.09.16),102005379.5,총액제,2차공고의뢰중,정선영
2017-05-30,DAM77028001,CN-235 부품구매,한도액부품,수의계약,국제부품계약팀(구:19.09.16),6797505111.5,총액제,2차공고의뢰중,강현숙
2017-05-30,PCM77993001,MTU엔진부속,한도액부품,수의계약,국제부품계약팀(구:19.09.16),6362726957.5,,2차공고의뢰중,이송이
2017-05-30,DAM77027001,CN-235 기술도서,한도액부품,수의계약,국제부품계약팀(구:19.09.16),401438550,총액제,2차공고의뢰중,강현숙
2017-05-31,DKB47001001,AGM-65 점검장비 정비,장비정비,수의계약,대정부계약팀(구:19.09.16),159348600,총액제,2차공고의뢰중,김종현
2017-05-31,DAB47014001,(K)F-16 기체 부품정비,장비정비,수의계약,대정부계약팀(구:19.09.16),14904412413,총액제,2차공고의뢰중,김종현
2017-05-31,DAB47026001,HS-748 부품정비,장비정비,수의계약,대정부계약팀(구:19.09.16),1094304407.5,총액제,2차공고의뢰중,김종현
2017-05-31,DAB47009001,RC-800 기관 부품정비,장비정비,수의계약,대정부계약팀(구:19.09.16),3209192771.5,총액제,2차공고의뢰중,김종현
2017-05-31,DAB47033001,HH-32 부품정비,장비정비,수의계약,대정부계약팀(구:19.09.16),2522779759.5,총액제,2차공고의뢰중,김종현
2017-06-01,PCA97254001,폭발물처리 보호의(EOD 슈트),장비,수의계약,국제장비계약팀(구:19.09.16),6424200000,총액제,2차공고의뢰중,정성민
2017-06-08,WAA97050002,TACAN 부대급 지원장비,장비,2단계경쟁(동시),국제장비계약팀(구:19.09.16),68040900,총액제,2차공고의뢰중,황병순
2017-06-08,WAA97051002,"고정장치, 항공기 계류용",장비,2단계경쟁(동시),국제장비계약팀(구:19.09.16),52647000,총액제,2차공고의뢰중,황병순
2017-06-08,WAA97054002,"전원공급, 어댑터(독도함)",장비,2단계경쟁(동시),국제장비계약팀(구:19.09.16),5384300,총액제,2차공고의뢰중,황병순
2017-06-08,WAA97052002,전력계,장비,2단계경쟁(동시),국제장비계약팀(구:19.09.16),38490500,총액제,2차공고의뢰중,황병순
2017-06-08,WAA97053002,인두기,장비,2단계경쟁(동시),국제장비계약팀(구:19.09.16),11260800,총액제,2차공고의뢰중,황병순
2017-06-08,WAA97055002,"현미경,광학기구용",장비,2단계경쟁(동시),국제장비계약팀(구:19.09.16),627900,총액제,2차공고의뢰중,황병순
2017-06-27,PCD87120001,해군함정부품,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),4836555,단가제,2차공고의뢰중,김현승
2017-06-27,PCD87119001,해군함정부품,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),59853199,단가제,2차공고의뢰중,김현승
2017-06-29,9SE97005001,향백사업 기술지원,기술용역,수의계약,국제장비계약팀(구:19.09.16),11990475000,총액제,2차공고의뢰중,박민주
2017-06-30,BDD87952003,열상장비 부속,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),1406855145,단가제,2차공고의뢰중,현대환
2017-06-30,WDE97119002,대포병탐지레이더(ARTHUR-K) 부품 정비,기술용역,수의계약,국제장비계약팀(구:19.09.16),3440004200,총액제,2차공고의뢰중,정선영
2017-06-30,DAD87019002,패트리어트 발사대 수리부속 구매,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),7437659.5,단가제,2차공고의뢰중,김소영
2017-06-30,DAM77015001,F-5 기관부품 구매,한도액부품,수의계약,국제부품계약팀(구:19.09.16),1112127429.5,총액제,2차공고의뢰중,이종선
2017-06-30,BFD87553004,방공부속,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),795962380,단가제,2차공고의뢰중,이지수
2017-06-30,DAM77966002,임차기 자체보호장비 부품정비,한도액부품,수의계약,국제부품계약팀(구:19.09.16),194435675,총액제,2차공고의뢰중,김소영
2017-06-30,DAM77025001,C-130J 기술도서 구매,한도액부품,수의계약,국제부품계약팀(구:19.09.16),188142300,총액제,2차공고의뢰중,강현숙
2017-06-30,PCB47015001,"잠수함 레이더, 발사관 원격 조종장치 부품정비",장비정비,수의계약,대정부계약팀(구:19.09.16),197064023,단가제,2차공고의뢰중,임선경
2017-06-30,PAB47001001,CARAVAN 통신부품정비,장비정비,수의계약,대정부계약팀(구:19.09.16),521050245.5,단가제,2차공고의뢰중,임선경
2017-06-30,DAB47032001,HH-60 부품정비,장비정비,수의계약,대정부계약팀(구:19.09.16),1338408318,총액제,2차공고의뢰중,김종현
2017-06-30,BGD87002002,육군 궤도장비부품,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),4981650.5,단가제,2차공고의뢰중,현대환
2017-06-30,BFD87960001,방공부속,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),653392774.5,단가제,2차공고의뢰중,이지수
2017-06-30,PCD87010004,잠수함 부품구매,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),7712509500,단가제,2차공고의뢰중,이상식
2017-06-30,WSE97020001,스파이크 기술용역,기술용역,수의계약,국제장비계약팀(구:19.09.16),419980000,총액제,2차공고의뢰중,황병순
2017-06-30,PBM77804001,해군화력부품,한도액부품,수의계약,국제부품계약팀(구:19.09.16),2158476055,총액제,2차공고의뢰중,전병서
2017-06-30,PDM77001001,소해함용 음탐기 부속,한도액부품,수의계약,국제부품계약팀(구:19.09.16),1360336104,단가제,2차공고의뢰중,김명주
2017-06-30,BAD87011001,UH-60 부속,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),824905269.5,단가제,2차공고의뢰중,김혜진
2017-06-30,DAD87014002,T-50 사출장비 부품 구매,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),198231250,단가제,2차공고의뢰중,김소영
2017-06-30,DAD87016001,정밀근접레이더 수리부속 구매,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),42895000,단가제,2차공고의뢰중,김소영
2017-06-30,DAD87017001,기상레이다 부품구매,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),182898070,단가제,2차공고의뢰중,김소영
2017-06-30,DAM77012001,KT-1 엔진 부품 구매,한도액부품,수의계약,국제부품계약팀(구:19.09.16),4616147667.5,단가제,2차공고의뢰중,이종선
2017-06-30,BFD87961002,방공부속,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),30620624.5,단가제,2차공고의뢰중,이지수
2017-06-30,BFD87961001,방공부속,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),778803655.5,단가제,2차공고의뢰중,이지수
2017-06-30,PDD87001004,해군통신부품,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),3999995791.5,단가제,2차공고의뢰중,김명주
2017-06-30,PBD87705003,해군화력부품,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),533772787.5,단가제,2차공고의뢰중,전병서
2017-06-30,PCM77510001,잠수함 부품구매,한도액부품,수의계약,국제부품계약팀(구:19.09.16),16940528767,단가제,2차공고의뢰중,이상식
2017-06-30,PBM77803001,해군화력부품,한도액부품,수의계약,국제부품계약팀(구:19.09.16),4331304892,총액제,2차공고의뢰중,전병서
2017-06-30,DAB47019001,CN-235 부품정비(ADS),장비정비,수의계약,대정부계약팀(구:19.09.16),3372875698.5,총액제,2차공고의뢰중,김종현
2017-06-30,DAM77018001,HS-748부품,한도액부품,수의계약,국제부품계약팀(구:19.09.16),417286320.5,총액제,2차공고의뢰중,이종선
2017-06-30,DAM77025002,C-130 자체보호장비,한도액부품,수의계약,국제부품계약팀(구:19.09.16),232720555,총액제,2차공고의뢰중,강현숙
2017-06-30,PBD87701001,해군화력부품,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),614007229.5,단가제,2차공고의뢰중,전병서
2017-06-30,PBD87701003,해군화력부품,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),952965796.5,단가제,2차공고의뢰중,전병서
2017-06-30,PBD87701002,해군화력부품,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),321880917.5,단가제,2차공고의뢰중,전병서
2017-06-30,PBD87702003,해군화력부품,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),300018900,단가제,2차공고의뢰중,전병서
2017-06-30,BGD87002001,육군 궤도장비부품,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),299534554.5,단가제,2차공고의뢰중,현대환
2017-06-30,DAM77017001,B-737 부품구매,한도액부품,수의계약,국제부품계약팀(구:19.09.16),1011894809.5,총액제,2차공고의뢰중,이종선
2017-06-30,PKC97007002,플레어,물자,2단계경쟁(동시),국제장비계약팀(구:19.09.16),316480000,총액제,2차공고의뢰중,
2017-06-30,PKC97008002,플레어,물자,2단계경쟁(동시),국제장비계약팀(구:19.09.16),436742400,총액제,2차공고의뢰중,
2017-06-30,BFD87552004,방공부속,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),777962327,단가제,2차공고의뢰중,이지수
2017-06-30,DAM77006001,C-130J 기관 부품구매,한도액부품,수의계약,국제부품계약팀(구:19.09.16),1044757313,총액제,2차공고의뢰중,이충렬
2017-06-30,DAM77016001,탄도탄조기경보레이더 부품구매,한도액부품,수의계약,국제부품계약팀(구:19.09.16),978464413,총액제,2차공고의뢰중,이종선
2017-06-30,BFD87959002,방공부속,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),267672229,단가제,2차공고의뢰중,이지수
2017-06-30,BGD87002003,육군 궤도장비부품,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),490885780,단가제,2차공고의뢰중,현대환
2017-06-30,PBM77802001,해군화력부품,한도액부품,수의계약,국제부품계약팀(구:19.09.16),7517365597.5,총액제,2차공고의뢰중,전병서
2017-06-30,PBM77805001,함포체계(127MM/76MM/40MM) 부품 정비,한도액부품,수의계약,국제부품계약팀(구:19.09.16),2260834875.5,총액제,2차공고의뢰중,전병서
2017-06-30,DAM77962002,RC-800기관 부품 구매,한도액부품,수의계약,국제부품계약팀(구:19.09.16),508050944.5,총액제,2차공고의뢰중,김소영
2017-06-30,DAM77005001,C-130J 부품구매,한도액부품,수의계약,국제부품계약팀(구:19.09.16),1295081240,총액제,2차공고의뢰중,이충렬
2017-06-30,BAD87012001,CH-47D 부속,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),2006211639,단가제,2차공고의뢰중,김혜진
2017-06-30,BFD87955004,방공부속,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),227090500,단가제,2차공고의뢰중,이지수
2017-06-30,BGD87001003,육군기동부속,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),246017660,단가제,2차공고의뢰중,현대환
2017-06-30,DAD87011001,F-16 부품구매(일반),(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),30915450,단가제,2차공고의뢰중,김소영
2017-06-30,DAD87019001,패트리어트 발사대 수리부속 구매,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),78005075,단가제,2차공고의뢰중,김소영
2017-06-30,DAM77013001,KT-1 사출장비 부품구매,한도액부품,수의계약,국제부품계약팀(구:19.09.16),2680572501.5,총액제,2차공고의뢰중,이종선
2017-06-30,PBD87704002,해군화력부품,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),955201.5,단가제,2차공고의뢰중,전병서
2017-06-30,BAD87012003,CH-47D 부속,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),961058404,단가제,2차공고의뢰중,김혜진
2017-06-30,PBD87707003,해군화력부품,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),579035143,단가제,2차공고의뢰중,전병서
2017-06-30,PBD87701004,해군화력부품,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),1164358900,단가제,2차공고의뢰중,전병서
2017-06-30,DAD87013001,F-5부품,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),21069564,단가제,2차공고의뢰중,김소영
2017-06-30,DAD87018001,패트리어트 발사대 수리부속 구매,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),2530000,단가제,2차공고의뢰중,김소영
2017-06-30,DAB47001001,탄도탄 조기경보레이다 부품정비,장비정비,수의계약,대정부계약팀(구:19.09.16),1029188360,총액제,2차공고의뢰중,김종현
2017-06-30,BAD87013001,BO-105 부속,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),874031694,단가제,2차공고의뢰중,김혜진
2017-06-30,PDD87001002,해군통신부품,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),1726489284.5,단가제,2차공고의뢰중,김명주
2017-06-30,BFD87554004,방공부속,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),1089815842.5,단가제,2차공고의뢰중,이지수
2017-06-30,BGD87001001,육군기동부속,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),435836556.5,단가제,2차공고의뢰중,현대환
2017-06-30,BFD87550004,방공부속,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),467219700,단가제,2차공고의뢰중,이지수
2017-06-30,BGD87001002,육군기동부속,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),10011210,단가제,2차공고의뢰중,현대환
2017-06-30,DAM77007001,C-130J 기술도서 구매,한도액부품,수의계약,국제부품계약팀(구:19.09.16),2115899628,,2차공고의뢰중,이충렬
2017-06-30,PBD87704001,해군화력부품,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),562921101.5,단가제,2차공고의뢰중,전병서
2017-06-30,PCD87010001,잠수함 부품구매,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),1330121935.5,단가제,2차공고의뢰중,이상식
2017-06-30,DAM77011001,,한도액부품,수의계약,국제부품계약팀(구:19.09.16),4629632188,총액제,2차공고의뢰중,이종선
2017-06-30,PAB47006001,LYNX 항공기 부품 정비,장비정비,수의계약,대정부계약팀(구:19.09.16),16111303615,단가제,2차공고의뢰중,임선경
2017-06-30,PDM77002001,"DA-05,ZW-06,PHS-32 부품구매",한도액부품,수의계약,국제부품계약팀(구:19.09.16),1275707259,단가제,2차공고의뢰중,김명주
2017-06-30,BAD87011002,UH-60 부속,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),73250227.5,단가제,2차공고의뢰중,김혜진
2017-06-30,DAM77020001,정밀접근레이더 부품구매,한도액부품,수의계약,국제부품계약팀(구:19.09.16),301067700,총액제,2차공고의뢰중,이종선
2017-06-30,BDD87951001,무선장비부속,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),300963015.5,단가제,2차공고의뢰중,현대환
2017-06-30,PBD87706003,해군화력부품,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),375187500,단가제,2차공고의뢰중,전병서
2017-06-30,PBD87704003,해군화력부품,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),871724150,단가제,2차공고의뢰중,전병서
2017-06-30,PCM77520001,잠수함 주추진 제어계통,한도액부품,수의계약,국제부품계약팀(구:19.09.16),1262286828,단가제,2차공고의뢰중,이상식
2017-06-30,PCM77013001,필스틱 수리부속,한도액부품,수의계약,국제부품계약팀(구:19.09.16),179313451,총액제,2차공고의뢰중,나준채
2017-06-30,PBB47014001,SUT 구성품 후송정비,장비정비,수의계약,대정부계약팀(구:19.09.16),65780000,단가제,2차공고의뢰중,임선경
2017-06-30,PAB47009001,LYNX 통신장비부품정비,장비정비,수의계약,대정부계약팀(구:19.09.16),1829379439.5,단가제,2차공고의뢰중,임선경
2017-06-30,PBB47011001,30미리 골키퍼 정비,장비정비,수의계약,대정부계약팀(구:19.09.16),1618118505.5,단가제,2차공고의뢰중,임선경
2017-07-17,PCD87802001,테스트점검용(국외-2단계경쟁)-CASE-033,(확정)부품,2단계경쟁(동시),국제부품계약팀(구:19.09.16),145092314.5,단가제,2차공고의뢰중,나준채
2017-07-17,PCD87803001,테스트점검용(국외-일반경쟁)-CASE-032,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),66322271,단가제,2차공고의뢰중,나준채
2017-07-17,PCD87804001,테스트점검용(국외-일반경쟁)-CASE-032,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),279083265,단가제,2차공고의뢰중,나준채
2017-07-17,PCD87805001,테스트점검용(국외-일반경쟁)-CASE-032,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),22512917.5,단가제,2차공고의뢰중,나준채
2017-07-17,PCD87806001,테스트점검용(국외-일반경쟁)-CASE-032,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),123076680,단가제,2차공고의뢰중,나준채
2017-07-30,DAM77001001,F-15K 기관부품 구매,한도액부품,수의계약,국제부품계약팀(구:19.09.16),36208269984,총액제,2차공고의뢰중,이충렬
2017-07-30,WAD87001002,상륙기동헬기 지원장비,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),76627950,단가제,2차공고의뢰중,김명주
